Date,Equity,DD
02/26/2009,20545,-9775
02/27/2009,19670,-10650
03/01/2009,19670,-10650
03/02/2009,21055,-9265
03/03/2009,22475,-7845
03/04/2009,22175,-8145
03/05/2009,22525,-7795
03/06/2009,23150,-7170
03/08/2009,23375,-6945
03/09/2009,23110,-7210
03/10/2009,23125,-7195
03/11/2009,24245,-6075
03/12/2009,22900,-7420
03/13/2009,22900,-7420
03/15/2009,22735,-7585
03/16/2009,22590,-7730
03/17/2009,22245,-8075
03/18/2009,19930,-10390
03/19/2009,20315,-10005
03/20/2009,20235,-10085
03/22/2009,19795,-10525
03/23/2009,20805,-9515
03/24/2009,21025,-9295
03/25/2009,21555,-8765
03/26/2009,21525,-8795
03/27/2009,22390,-7930
03/29/2009,22185,-8135
03/30/2009,22495,-7825
03/31/2009,22705,-7615
04/01/2009,21530,-8790
04/02/2009,21530,-8790
04/03/2009,21530,-8790
04/05/2009,20035,-10285
04/06/2009,19965,-10355
04/07/2009,20745,-9575
04/08/2009,20655,-9665
04/09/2009,20800,-9520
04/12/2009,21025,-9295
04/13/2009,21365,-8955
04/14/2009,20855,-9465
04/15/2009,20955,-9365
04/16/2009,21185,-9135
04/17/2009,21590,-8730
04/19/2009,21555,-8765
04/20/2009,23455,-6865
04/21/2009,23195,-7125
04/22/2009,23575,-6745
04/23/2009,23745,-6575
04/24/2009,24240,-6080
04/26/2009,24240,-6080
04/27/2009,24165,-6155
04/28/2009,24095,-6225
04/29/2009,23375,-6945
04/30/2009,21935,-8385
05/01/2009,21910,-8410
05/03/2009,22395,-7925
05/04/2009,21495,-8825
05/05/2009,21370,-8950
05/06/2009,21370,-8950
05/07/2009,21675,-8645
05/08/2009,21965,-8355
05/10/2009,21905,-8415
05/11/2009,22060,-8260
05/12/2009,22335,-7985
05/13/2009,22225,-8095
05/14/2009,22335,-7985
05/15/2009,22370,-7950
05/17/2009,22370,-7950
05/18/2009,22635,-7685
05/19/2009,22790,-7530
05/20/2009,21580,-8740
05/21/2009,21580,-8740
05/22/2009,21580,-8740
05/24/2009,21665,-8655
05/25/2009,21645,-8675
05/26/2009,20440,-9880
05/27/2009,20545,-9775
05/28/2009,22135,-8185
05/29/2009,23465,-6855
05/31/2009,24085,-6235
06/01/2009,23495,-6825
06/02/2009,23290,-7030
06/03/2009,23290,-7030
06/04/2009,23155,-7165
06/05/2009,23190,-7130
06/07/2009,23775,-6545
06/08/2009,22625,-7695
06/09/2009,23625,-6695
06/10/2009,24820,-5500
06/11/2009,25710,-4610
06/12/2009,25710,-4610
06/14/2009,25935,-4385
06/15/2009,25315,-5005
06/16/2009,25475,-4845
06/17/2009,25655,-4665
06/18/2009,25380,-4940
06/19/2009,25380,-4940
06/21/2009,25355,-4965
06/22/2009,24805,-5515
06/23/2009,25555,-4765
06/24/2009,26685,-3635
06/25/2009,26460,-3860
06/26/2009,26510,-3810
06/28/2009,26565,-3755
06/29/2009,27025,-3295
06/30/2009,25300,-5020
07/01/2009,24090,-6230
07/02/2009,24405,-5915
07/03/2009,24440,-5880
07/05/2009,24445,-5875
07/06/2009,24985,-5335
07/07/2009,24795,-5525
07/08/2009,24755,-5565
07/09/2009,24975,-5345
07/10/2009,25350,-4970
07/12/2009,25195,-5125
07/13/2009,25915,-4405
07/14/2009,25550,-4770
07/15/2009,25275,-5045
07/16/2009,25325,-4995
07/17/2009,25360,-4960
07/19/2009,25360,-4960
07/20/2009,25455,-4865
07/21/2009,25425,-4895
07/22/2009,25765,-4555
07/23/2009,25855,-4465
07/24/2009,25995,-4325
07/26/2009,26325,-3995
07/27/2009,26335,-3985
07/28/2009,24460,-5860
07/29/2009,25165,-5155
07/30/2009,25845,-4475
07/31/2009,25720,-4600
08/02/2009,25720,-4600
08/03/2009,25645,-4675
08/04/2009,25580,-4740
08/05/2009,25580,-4740
08/06/2009,25580,-4740
08/07/2009,25580,-4740
08/09/2009,25585,-4735
08/10/2009,25685,-4635
08/11/2009,25755,-4565
08/12/2009,25610,-4710
08/13/2009,25610,-4710
08/14/2009,25610,-4710
08/16/2009,25565,-4755
08/17/2009,24725,-5595
08/18/2009,25405,-4915
08/19/2009,25655,-4665
08/20/2009,26180,-4140
08/21/2009,26330,-3990
08/23/2009,26330,-3990
08/24/2009,26330,-3990
08/25/2009,26330,-3990
08/26/2009,26255,-4065
08/27/2009,26290,-4030
08/28/2009,26290,-4030
08/30/2009,26290,-4030
08/31/2009,26280,-4040
09/01/2009,26280,-4040
09/02/2009,26280,-4040
09/03/2009,25955,-4365
09/04/2009,26110,-4210
09/06/2009,26110,-4210
09/07/2009,26110,-4210
09/08/2009,26845,-3475
09/09/2009,26105,-4215
09/10/2009,26745,-3575
09/11/2009,26310,-4010
09/13/2009,26265,-4055
09/14/2009,25815,-4505
09/15/2009,26140,-4180
09/16/2009,26455,-3865
09/17/2009,26790,-3530
09/18/2009,26790,-3530
09/20/2009,26535,-3785
09/21/2009,27015,-3305
09/22/2009,28055,-2265
09/23/2009,27355,-2965
09/24/2009,27670,-2650
09/25/2009,28540,-1780
09/27/2009,27985,-2335
09/28/2009,27915,-2405
09/29/2009,28485,-1835
09/30/2009,28585,-1735
10/01/2009,28035,-2285
10/02/2009,27960,-2360
10/04/2009,27960,-2360
10/05/2009,27960,-2360
10/06/2009,27960,-2360
10/07/2009,28655,-1665
10/08/2009,28315,-2005
10/09/2009,28925,-1395
10/11/2009,28545,-1775
10/12/2009,28795,-1525
10/13/2009,28910,-1410
10/14/2009,28910,-1410
10/15/2009,28965,-1355
10/16/2009,29525,-795
10/18/2009,29275,-1045
10/19/2009,29520,-800
10/20/2009,29870,-450
10/21/2009,30060,-260
10/22/2009,30060,-260
10/23/2009,30060,-260
10/25/2009,30060,-260
10/26/2009,30345,0
10/27/2009,30145,-200
10/28/2009,30705,0
10/29/2009,32205,0
10/30/2009,31865,-340
11/01/2009,31985,-220
11/02/2009,33855,0
11/03/2009,35855,0
11/04/2009,36105,0
11/05/2009,36465,0
